Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Votes,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Work Breakdown),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Commits),Custom field (Done),Custom field (E-mail CCs),Custom field (E-mail Sender),Custom field (Epic Link),Custom field (Global Rank),Custom field (Mgmt Approval),Custom field (PM Owner),Custom field (Platform/s),Custom field (Platform/s),Custom field (Platform/s),Custom field (Platform/s),Custom field (Platform/s),Custom field (Platform/s),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Ranking),Custom field (Recruitment Status),Custom field (Recruitment Target),Custom field (Requested Country/Site),Custom field (RnD Owner),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Status),Custom field (Story Points),Custom field (Target Level),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
QBluetoothDeviceInfo should offer access to all fields received in the scanRecord / Android,QTBUG-79966,288259,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,ablasche,szb,szb,12 Nov '19 13:56,21 Dec '20 11:00,18 Feb '21 09:41,,5.13.2,,,,,,,,,,,,,,,,,,,,,,Connectivity: Bluetooth,,,,0,,,,"Currently BLE scan seems to parse only a subset of the fields received during adertising:

The list of fields considered is in the ADType enum ()

/* Advertising Data Type (AD type) for LE scan records, as defined in Bluetooth CSS v6. */
enum ADType {
 ADType16BitUuidIncomplete = 0x02,
 ADType16BitUuidComplete = 0x03,
 ADType32BitUuidIncomplete = 0x04,
 ADType32BitUuidComplete = 0x05,
 ADType128BitUuidIncomplete = 0x06,
 ADType128BitUuidComplete = 0x07,
 ADTypeManufacturerSpecificData = 0xff,
 // .. more will be added when required
};

One of the items that probably should be added is

type = 0x09 = Complete Local Name , that is the local name of the device.

Also it would be nice if the list would be somehow extensible (so that clients could set the list of fields they're interested in,  not sure if this is possible)

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Android,,,,,,"0|i0mo93:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"21 Dec '20 11:00;victor.corchez;will this fix be included in any Qt version any time soon?",,,,,,,,,,,,,,,,,,,,,
CMake Build: Instruct CMake to create the fileApi json structure for IDEs,QTBUG-89487,309879,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,qtbuildsystem,cadam,cadam,14 Dec '20 19:56,15 Dec '20 11:34,18 Feb '21 09:41,,6.0.0,,,,,,,,,,,,,,,,,,,,,,Build System: CMake,,,,0,,,,"The CMake configuration process of QtBase, or of a Qt6 super build can take a while, it would be helpful if this time could be reduced to zero when importing the build in Qt Creator (or other IDE that supports CMake fileApi).

If the CMake build system would make sure that in the build directory there will be the following file structure ({{<build_dir>/.cmake/api/v1/query}})

{code}
└───.cmake
    └───api
        └───v1
            └───query
                    cache-v2
                    cmakeFiles-v1
                    codemodel-v2
{code}

The files are 0 bytes in size.

This way Qt Creator could import the build and load the CMake project very fast, thus having a better user experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,All,,,,,,"0|i0q1i7:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"14 Dec '20 20:54;jbornema;I seem to be missing some parts here. How does the existence of these empty files speed up loading?

And can't Qt Creator just create this directory structure if needed on importing a CMake build dir?","14 Dec '20 21:35;cadam;CMake looks into the ""query"" directory and creates the ""reply"" directory. The ""reply"" directory contains json files that represent the project, json files which Qt Creator will be reading in order to load the project.

Qt Creator is doing this step if the .cmake directory is missing, or if the ""reply"" directory is missing.  

If the build system would prepare this, then Qt Creator wouldn't have to. ","15 Dec '20 06:58;jbornema;That means the directory structure must exist before cmake creates the build system. 
It has to be checked whether the dir structure actually can be created by CMake project files then or if that would be too late.

I have a bit of a problem with enabling this for every user project. Not everyone might want this. ","15 Dec '20 07:49;kkohne;[~cadam], is there a cmake command to set this up?

THis sounds like a good idea at least for Qt/-developer-builds. Anyhow, the question still is whether we should do this for all projects ... 

[~crscott] ^^","15 Dec '20 11:34;cadam;I've tried adding the following:

{code}
foreach(file cache-v2 cmakeFiles-v1 codemodel-v2)
  file(WRITE ""${CMAKE_BINARY_DIR}/.cmake/api/v1/query/${file}"" """")
endforeach(){code}

at the top of a {{CMakeLists.txt}}'s project, configured the project and unfortunately the ""reply"" folder was not created.

Then I tried adding the code into a {{PreLoad.cmake}} file found in the source directory of the project, tried again, and ... it worked! �

The {{PreLoad.cmake}} could be then added into a {{.gitignore}} so that it won't end in the git repository.

",,,,,,,,,,,,,,,,,
Feature Request: Option to replace all points in QML XYSeries ,QTBUG-89478,309857,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,e0348803,shmittal,shmittal,14 Dec '20 13:21,14 Dec '20 13:23,18 Feb '21 09:41,,5.15.2,,,,,,,,,,,,,,,,,,,,,,Charts,,,,0,Reported_by_support_standard,,,"Currently, user can replace points in XySeries one by one in QML charts, and there is no option to replace all the points in one go. A similar method is available for QXYSeries, https://doc.qt.io/qt-5/qxyseries.html#replace-5. 
It would be great if similar functionality can be added to QML series too. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0q1db:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add method in QWebSocket to Bind it to a specific IP/Port,QTBUG-83302,296686,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,cnn,taytoo,taytoo,03 Apr '20 18:29,11 Dec '20 06:48,18 Feb '21 09:41,,5.15,5.15.0 Beta3,,,,,,,,,,,,,,,,,,,,,WebSockets,,,,1,Reported_by_support_standard,,,"Some applications need to offer the ability to select which network interface/address an application should use to communicate. QTcpSocket and QUdpSocket both have the option to bind to specific IP/port combination, however, the bind method is lacking in QWebSocket.

*Proposed methods:* 
_1. bool QWebSocket::bind(const QHostAddress &address, quint16 port = 0, QAbstractSocket::BindMode mode = DefaultForPlatform)_

_2. bool QWebSocket::bind(quint16 port = 0, QAbstractSocket::BindMode mode = DefaultForPlatform)_



QAbstractSocket +already has+ these two bind methods with identical parameters. Since QWebSocket internally uses a QTcpSocket, the change is very straightforward in that the proposed methods in QWebSocket simply need to call the respective method in QTcpSocket and return value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,All,,,,,,"0|i0ny53:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extend the registration of a custom schema so it can be also used as a custom scheme for the Fetch API,QTBUG-88830,308517,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,qt_webengine_team,andysh,andysh,25 Nov '20 07:46,09 Dec '20 10:23,18 Feb '21 09:41,,,,,,,,,,,,,,,,,,,,,,,,WebEngine,,,,0,Reported_by_support_standard,,,Extend the registration of a custom schema so it can be also used as a custom scheme for the Fetch API. In addition if there is any internal other APIs that could make use of the custom scheme it should be registered for them too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0ptnz:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"07 Dec '20 01:53;benjamintmiller;Could we get an estimate on when this might be worked on?  A product of ours will be blocked on this feature, so we need to find another approach if it will take a long time.","09 Dec '20 10:23;allan.jensen;Shouldn't be too hard, assuming nothing unexpected pops up. But I guess it would require a new API. It is similar to schemes allowed for service workers",,,,,,,,,,,,,,,,,,,,
[Accessibility] QtQuick ListView on Windows should implement the VirtualizedItem control pattern,QTBUG-88187,307405,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,frederik,cosminp,cosminp,05 Nov '20 01:05,08 Dec '20 15:36,18 Feb '21 09:41,,5.14.2,,,,,,,,,,,,,,,,,,,,,,GUI: Accessibility (a11y),,,,0,customer=lngAAA,CustomerRequirement,,"The VirtualizedItem control pattern allows a UIAutomation element to provide information about the real size of the list (not just the realized items) and control functions to realize items.

https://docs.microsoft.com/en-us/windows/win32/winauto/uiauto-implementingvirtualizeditem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Windows,,,,,,"0|i0pn5r:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Accessibility] Add a HeadingLevel to QML Accessible and surface it in QWindowsUiaMainProvider ,QTBUG-75004,276691,Suggestion,Open,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,frederik,cosminp,cosminp,05 Apr '19 19:52,08 Dec '20 15:36,18 Feb '21 09:41,,,,,,,,,,,,,,,,,,,,,,,,GUI: Accessibility (a11y),,,,0,customer=lngAAA,CustomerRequirement,,"Missing property implementation HeadingLevel which enables Accessibility Tools to correctly interpret a text as the title of a page - the same way that can be achieved on web pages using ARIA annotations

[https://docs.microsoft.com/en-us/windows/desktop/winauto/uiauto-heading-level-identifiers]

 ",,,,,,,,,,,,,,,,,,,"06 May '19 14:40;cosminp;AccHeadingLevel_InspectTool.jpg;https://bugreports.qt.io/secure/attachment/83652/AccHeadingLevel_InspectTool.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Windows,,,,,,"0|i0kuwf:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"06 May '19 08:44;frederik;This makes sense, I wonder what other platforms do, how do I best check if this is working on Windows?","06 May '19 14:40;cosminp;Hi [~frederik], there's 2 ways to verify this:
 # Using Windows Narrator (press ctrl+ win+ enter to open), point it at any webpage (for example this page: [https://support.microsoft.com/en-us/help/22798/windows-10-complete-guide-to-narrator] ) and press CapsLock + F6 which makes Narrator show a list of all the headings in the window
 # Using the Windows SDK accessibility inspector (apologies if you're already familiar with it) - if you have any version of the Windows SDK installed it should be in this folder: Windows Kits\10\bin\10.0.17134.0\x64\inspect.exe. You can use it to hover over the text/element you want to be a header and check its heading level property  !AccHeadingLevel_InspectTool.jpg|width=681,height=551!",,,,,,,,,,,,,,,,,,,,
WebEngine PDF extension ignore opening options,QTBUG-86152,303075,Suggestion,Open,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,davidsz,kadomcevi,kadomcevi,19 Aug '20 13:07,04 Dec '20 12:09,18 Feb '21 09:41,,5.13.0 RC 3,5.14.2,,,,,,,,,,,,,,,,,,,,,WebEngine,,,,0,,,,"WebEngine PDF extension ignore opening options
So urls like this:
path/to/pdf*#view=fitH*
path/to/pdf*#zoom=200*
not works (but works in original chrome browser)

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,All,,,,,,"0|i0oyyv:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"30 Sep '20 11:27;davidsz;This is a valid issue. The problem is in our URL format: basically it is a chrome-extension URL with a parameter pointing to the PDF file, while Chrome operates with the PDF URL itself. In our case the fragment is the part of the chrome-extension URL instead of being part of the parameter, so open_pdf_params_parser.js can't parse it properly. This will be fixed when we start to support guest views and leave the navigation to the chrome-extension URL.

NOTE: We have an incomplete/shortened/trimmed function in browser_api.js without any trace in git logs:
{code:java}
export function createBrowserApi() {
 return createBrowserApiForPrintPreview();
}{code}
And the corresponding one in upstream Chrome:
 
{code:java}
export function createBrowserApi() {
  if (location.origin === 'chrome://print') {
    return createBrowserApiForPrintPreview();
  }
  return createBrowserApiForMimeHandlerView();
}{code}
This will be probably needed to fix this.
 ",,,,,,,,,,,,,,,,,,,,,
Euler Angles to Quaternion conversion,QTBUG-79752,287875,Suggestion,Open,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,lagocs,fmercury,fmercury,05 Nov '19 00:03,04 Dec '20 06:48,18 Feb '21 09:41,,6.0.0,,,,,,,,,,,,,,,,,,,,,,GUI: OpenGL,,,,0,,,,"The function [https://doc.qt.io/qt-5/qquaternion.html#fromEulerAngles] preassumes a very specific order of Euler angles and rotation sequence. There are several conventions, and it is usual in geometry packages to allow the user to specify the rotation order as an argument. Something like:

 
{code:java}
yaw = 0.1; 
pitch = 0.2; 
roll = 0.3;
quaternion = fromEulerAngles( yaw, pitch, roll, ""ZXY"" )

{code}
Potentially, this Qt function could be expanded to allow this rotation order as fourth argument. A very good example on how to implement this could be found here:

[https://github.com/bminortx/Buckshot/blob/master/matlabComponents/Matlab_functions/angle2quat.m]

 [https://www.mathworks.com/help/aerotbx/ug/angle2quat.html]

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0mly7:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Accessibility] Implement a QAccessibleEvent that fires a UiaRaiseNotificationEvent,QTBUG-75003,276690,Suggestion,Open,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,owolff,cosminp,cosminp,05 Apr '19 19:44,03 Dec '20 17:04,18 Feb '21 09:41,,5.14.2,,,,,,,,,,,,,,,,,,,,,5.15.0 Beta2,GUI: Accessibility (a11y),,,,0,customer=lngAAA,CustomerRequirement,,"The UiaRaiseNotificationEvent can be used on Windows to inform Narrator of a change in the window (typically to make it read updated text, similar to LiveRegionChanged events)

The event is explained on the UIAutomation blog:

[https://blogs.msdn.microsoft.com/winuiautomation/2017/11/08/can-your-desktop-app-leverage-the-new-uia-notification-event-in-order-to-have-narrator-say-exactly-what-your-customers-need/]

 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566def740ec58e842e6bb37177f80e20aebaa245 (qt/qtbase/5.15),,,,,9223372036854775807,,javihria,Windows,,,,,,"0|i0kuw7:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"06 May '19 14:57;frederik;Thanks for the report and link! It's great to have some background on the notification :)","19 Mar '20 22:05;cosminp;[~anrocha] apologies - just catching up on this - I looked at the fix but it sounds like the caller has no flexibility on when the event gets fired, what its priority is or whether it should fire at all - it fires on every text change? That's probably too verbose most callers will want to fire the event only on demand - and would like to be able to specify the handling flags, NotificationProcessing_*

My initial thinking was somewhere along the lines of having a new type of QAccessibleEvent that does this, where callers can fire the event whenever they need the AT to announce the text (it could even have a Mac Cocoa NSAccessibility equivalent, with the problem that it takes a different set of values to specify priority/handling)","03 Dec '20 09:16;vhilshei;Reopening this suggestion as the implementation doesn't quite provide what's needed",,,,,,,,,,,,,,,,,,,
Feature Request: API to set Labels Precision in all chart series type ,QTBUG-89061,309001,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,e0348803,shmittal,shmittal,02 Dec '20 10:53,02 Dec '20 10:54,18 Feb '21 09:41,,5.15.2,,,,,,,,,,,,,,,,,,,,,,Charts,,,,2,Reported_by_support_standard,,,"Like with QAbstractBarSeries, user can set label precisión in bar charts with setLabelsPrecision
(changes are done as part of QTBUG-64370), but in other kinds of QAbstractSeries charts, there are no such functions to set the precision of labels.
Like in Area series, it is hardcoded to have precision up to 6, it would be great to have a similar method for all series types. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0pwgf:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support rendering to QImage via QQuickRenderControl without having to use private APIs,QTBUG-88876,308593,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,qt.team.graphics.and.multimedia,rectalogic,rectalogic,25 Nov '20 23:20,27 Nov '20 12:30,18 Feb '21 09:41,,6.0.0 Beta5,,,,,,,,,,,,,,,,,,,,,,Qt RHI,Quick: SceneGraph,,,0,,,,"Currently to render offscreen using {{QQuickRenderControl}}, you need to {{QQuickWindow::setRenderTarget}} - and all available {{QQuickRenderTarget}}s are native, so you need 4 different native implementations.

Qt should expose a cross-platform {{QQuickRenderTarget}} so that I can render to this then read back the results as a {{QImage}}. This is for e.g. rendering QML offscreen as image frames into a video.

The test {{tst_RenderControl::renderAndReadBackWithRhi()}} in [https://github.com/qt/qtdeclarative/blob/v6.0.0-beta5/tests/auto/quick/qquickrendercontrol/tst_qquickrendercontrol.cpp#L137] does exactly what I want. And the comment in that test is exactly what this bug is about - why do application developers have to do 4 separate native implementations to make this work?
{noformat}
// What comes now is technically cheating - as long as QRhi is not a public
// API this is not something applications can follow doing. However, it  
// allows us to test out the pipeline without having to write 4 different
// native (Vulkan, Metal, D3D11, OpenGL) implementations of all what's below.{noformat}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0pu3r:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"27 Nov '20 10:07;lagocs;I changed this to a suggestion. For the time being this is an intentional, even if unfortunate, limitation.

For projects that do not target all supported platforms, and thus are not interested in functioning with all 4 graphics APIs, it could well be that a single graphics API is sufficient in practice, in which case the problem is less burning.

If your project has a strong and urgent need for this, and having support for all the possible graphics APIs is inevitable, I suggest considering trying out the private APIs.
","27 Nov '20 11:43;rectalogic;In Qt5 we at least had {{QCRenderContr::grab()}}

{noformat}
QQuickRenderControl has a slightly changed API: grab() is now removed, use QQuickWindow::grabWindow() instead, where applicable.
{noformat}
[https://doc-snapshots.qt.io/qt6-dev/quick-changes-qt6.html]

but {{grabWindow}} only works with the software renderer

{noformat}
Note: When using this window in combination with QQuickRenderControl, the result of this function is an empty image, unless the software backend is in use. 
{noformat}
https://doc-snapshots.qt.io/qt6-dev/qquickwindow.html#grabWindow ","27 Nov '20 12:30;lagocs;True, the thinking being that if an application manages its own native graphics resources (an OpenGL texture, Vulkan image, etc.), then it is the application that can decide what is the best way to work with said resource, how to perform a readback on it, once Qt Quick has finished with rendering.

It is not unthinkable to restore some of the grab functionality to a degree, but that is somewhat unrelated to the problem outlined in this ticket: to get a cross-graphics-API solution that does not involve the applications working directly with OpenGL, Vulkan, etc., one still needs to use the private QRhi APIs, regardless of the level of grab support we provide. Having a more widely functional grab implementation would merely be a convenience for applications that work directly with a graphics API to get a texture, then target that texture with Qt Quick rendering, and then wish to perform readback without using the graphics API directly.
",,,,,,,,,,,,,,,,,,,
Qt for Android apps monitoring via Google Console ,QTBUG-88568,308042,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,qtandroidteam,assam,assam,17 Nov '20 08:17,24 Nov '20 10:11,18 Feb '21 09:41,,,,,,,,,,,,,,,,,,,,,,,,Build tools: androiddeployqt,Examples and Demos,,,0,,,,"To ensure better quality and catch bugs, errors, and crashes in our Qt for Android releases, we could have a list of apps/examples deployed into the Play Store for each latest Qt version, and monitor the logs from them. This can also be done before the release like in the RTA testing phase to ensure the release doesn't have some obvious crashes. This of course won't be a full-proof solution for detecting all issues, but it will get us a step forward for sure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Android,,,,,,"0|i08vfx:y",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"24 Nov '20 10:11;santtuahonen;Gearbox: Up to team level decision for how to proceed and prioritize in the overall backlog. Removing 4gearbox label. ",,,,,,,,,,,,,,,,,,,,,
QProperty does not accept Parameter list,QTBUG-88383,307704,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,thiago,febbe,febbe,10 Nov '20 18:07,17 Nov '20 15:54,18 Feb '21 09:41,,6.0.0 Beta3,,,,,,,,,,,,,,,,,,,,,,Core: Object Model,,,,0,,,,"I wanted to change parameters like:
Range range_{0,1} into 
QProperty<Range> range_{0, 1};
but this doesn't work, because you don't provide a variadic constructor with perfect forwarding:
template <typename ... Args>
QProperty(Args ...args) : QPropertyData<T>(std::forward<Args>(args)...){}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,All,,,,,,"0|i0poy7:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature Request: Enable using Locale and its NumberOptions for DoubleValidator,QTBUG-88453,307818,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,P2: Important,,qt.team.quick.subscriptions,shmittal,shmittal,12 Nov '20 10:18,12 Nov '20 10:43,18 Feb '21 09:41,,5.15.1,,,,,,,,,,,,,,,,,,,,,,Quick: Core Declarative QML ,,,,1,Reported_by_support_standard,,,"Currently, User can specify the locale to DoubleValidator but the numberOptions set for that locale does not make any difference to the validator. 
E.g, If user wants to restrict comma(,) in DoubleValidator and has set NumberOption to Locale.RejectGroupSeparator, it does not work. Please refer to the attached sample. 

{code:java}
    TextField {
        id: myspin
        inputMethodHints: Qt.ImhFormattedNumbersOnly
        property var spinLocale: Qt.locale(""C"")
        validator: DoubleValidator {
            bottom: 0.0
            top: 100.1
            notation: DoubleValidator.StandardNotation
        }
        Component.onCompleted: {
            spinLocale.NumberOption = Locale.RejectGroupSeparator
            myspin.validator.locale = myspin.spinLocale.name
        }
    }
{code}
",,,,,,,,,,,,,,,QTBUG-75110,,,,"12 Nov '20 10:20;shmittal;qtbug88453.zip;https://bugreports.qt.io/secure/attachment/100079/qtbug88453.zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0ppmv:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"12 Nov '20 10:43;holo-pk;The workaround is to create a CustomDoubleValidator with preferred NumberOptions
{code:java}
// CustomDoubleValidator.h
class CustomDoubleValidator : public QDoubleValidator
{
    Q_OBJECT

public:
    CustomDoubleValidator()
    {
        QLocale locale(QLocale::C);
        locale.setNumberOptions(QLocale::RejectGroupSeparator);
        setNotation(QDoubleValidator::StandardNotation);
        setLocale(locale);
    }
};
{code}
and expose it to QML 
{code:java}
qmlRegisterType<CustomDoubleValidator>(""com.your.components"", 1, 0, ""CustomDoubleValidator"");
{code}
and in QML use this CustomDoubleValidator
{code:java}
// qml
import com.your.controls 1.0

TextField {
        id: myspin
        inputMethodHints: Qt.ImhFormattedNumbersOnly
        validator: CustomDoubleValidator {
            bottom: 0.0
            top: 100.1
        }
    }{code}",,,,,,,,,,,,,,,,,,,,,
