Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (1.1.x Status),Custom field (1.5 Status),Custom field (10 status),Custom field (11 status),Custom field (12 status),Custom field (19 status),Custom field (2.1.x Status),Custom field (2.2 Status),Custom field (2.3 Status),Custom field (2.7 Status),Custom field (2.8 Status),Custom field (2.9 Status),Custom field (20 status),Custom field (21 Status),Custom field (CLE Team Issue),Custom field (Conversion Script Required),Custom field (Epic Link),Custom field (External issue ID),Custom field (External issue ID),Custom field (Global Rank),Custom field (Points),Custom field (Previous GIT issue),Custom field (Previous Issue Keys),Custom field (Property addition/change required),Custom field (Raised During),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Notes),Custom field (Test Plan),Custom field (Test Sessions),Custom field (Test Sessions),Custom field (Testing Status),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Matching Questions: Single-click ""Swap"" button for Matches and Choices",SAK-41755,85318,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,maintenanceteam,jbuckin2,jbuckin2,06-May-2019 16:01,15-Sep-2020 18:47,18-Feb-2021 03:39,,12.8 [Tentative],19.6,20.0,20.1,21.0 [Tentative],22.0 [Tentative],,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,0,LSClient,samigo,UI,UX,,,,,"As instructors build matching questions for their assessments, they may come to the conclusion that their already defined pairs ought to be swapped. That is, the values already entered for the ""choices"" should instead be the ""matches,"" and the values entered for the ""matches"" should instead be the ""choices.""

It's true that current functionality permits an instructor to click ""edit,"" copy/paste the values into their new respective choice/match boxes, and then click ""Save Pairing."" However, a single-click ""swap"" feature would greatly speed up the process, especially if there are quite a few match/choice pairs to swap. 

The screenshot attached to this JIRA is only one possible ""vision"" this new feature could take and am certainly open to other ideas. You'll observe the new ""Swap"" option sandwiched between the current ""Edit"" and ""Remove"" options. 

 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06-May-2019 16:00;jbuckin2;2019-05-06_13-30-09.png;https://jira.sakaiproject.org/secure/attachment/52823/2019-05-06_13-30-09.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10bty8:",9223372036854775807,,Please add a Test Plan here.,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drop Box > Add ""Permissions"" tab",SAK-44185,88387,New Feature,Awaiting Review,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,,jbuckin2,jbuckin2,31-Aug-2020 14:09,15-Sep-2020 18:40,18-Feb-2021 03:39,,12.7,12.8 [Tentative],19.5,19.6,20.1,21.0 [Tentative],,,,,,,,,,,,,Drop box,,,,,,,0,LSClient,TL,UX,,,,,,"The Drop Box tool in Sakai is very beneficial for a number of faculty, who often just want to use a simple file exchange tool for assignments and other needs. 

Often times, however, instructors want to allow teaching assistants (or other custom roles) access to the student folders within the tool. This has come up several times at our institution, and the only way to allow for this is to manually modify the role for each class within the Realms tool. 

As such, I'm proposing a ""Permissions"" tab on this tool, where instructors can customize role permissions to their needs. This ""Permission"" tab exists in a number of other tools (like Resources and Assignments) and so, as a point of consistency, should also be available in this tool as well.

This ""Permissions"" tab would be unique to the Drop Box tool (and would not be coupled with Resources). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01-Sep-2020 23:59;jbuckin2;Drop Box with Permissions Tab.png;https://jira.sakaiproject.org/secure/attachment/56744/Drop+Box+with+Permissions+Tab.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10c9gw:",9223372036854775807,,"In Trunk, go to any course/project site that contains the Drop Box tool. 
 # Click the Drop Box tool, and you'll observe that there is no ""Permissions"" tab that will allow instructors to customize access to this tool per their needs. 

If this feature request has been met, then a ""Permissions"" tab will be added to this tool, allowing instructors to customize access to this tool per different roles. ",,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tests & Quizzes (Samigo) > Trash > Select All to Restore,SAK-43018,86745,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,maintenanceteam,jbuckin2,jbuckin2,15-Jan-2020 18:55,15-Sep-2020 18:35,18-Feb-2021 03:39,,19.5,19.6,20.1,21.0 [Tentative],22.0 [Tentative],,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,0,LSClient,UX,,,,,,,"The new ""Restore Assessments"" tab (called ""Trash"" in trunk) is a great new feature that allows instructors to restore drafts that they had previously deleted. 

Often times, instructors delete the drafts, because they don't want to see them feature in the main Assessments tab (and because the published version already exists). Hence the utility of this feature.

However, instructors may not realize that these drafts are important when teaching the class next semester. And because *Site Info* > *Import from Site*: A) only imports DRAFTS (not published copies), and B) only imports drafts found within the ""Assessments"" tab, then instructors need to restore any/all drafts that are in the ""Trash"" prior to doing the import from site process.

It would be helpful if there was some ""Select All"" to restore functionality to make this easier, especially if there are many, many drafts to restore. My thinking is that it would just be a simple checkbox in the header column of ""Select Assessments."" Thus, it would work just like the ""Select All"" checkbox within the ""Remove"" column in Site Info > Manage Participants. 

I've included a quick mock-up of what this feature could look like. 

This also has the advantage of making the user experience a bit more consistent, given that a ""Select All"" functionality does exist elsewhere in the UI.

 ",,,,,,,,,,,,,,,,,,,,,,SAK-42519,,,,,,,,,"15-Jan-2020 18:56;jbuckin2;Samigo - Trash - Restore All.png;https://jira.sakaiproject.org/secure/attachment/54757/Samigo+-+Trash+-+Restore+All.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10c22g:",9223372036854775807,,"If this feature has been created, then instructors should be able to use this new feature in two important ways:

Restoring All:
 # As the instructor, create several drafts (5+) and delete them.
 # Go into the Trash, and click the new ""Select All"" function.
 # Do all of the drafts get selected? If yes, click ""Restore""
 # Did all of the drafts get restored to the ""Assessments"" tab?

Restoring Most:
 # As the instructor, create several drafts (5+) and delete them.
 # Go into the Trash, and click the new ""Select All"" function.
 # Do all of the drafts get selected? 
 # Uncheck one or two of the drafts that you don't wish to restore and click ""Restore.""
 # Did all of the SELECTED drafts get restored to the ""Assessments"" tab?",,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add gradebook.externalAssessments.updateSameScore to default.sakai.properties,SAK-44256,88458,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,maintenanceteam,austinUH,austinUH,09-Sep-2020 13:14,14-Sep-2020 15:15,18-Feb-2021 03:39,,12.7,19.5,20.1,21.0 [Tentative],,,,,,,,,,,,,,,Config,,,,,,,0,,,,,,,,,"https://jira.sakaiproject.org/browse/SAK-19953 Add property to allow updating timestamp in GradebookExternalAssessmentService when current grade is identical to previous grade

In that jira, a property was introduced:

gradebook.externalAssessments.updateSameScore=true

1) However, I don't see that property listed in the default.sakai.properties file.  Should it be?

2) That jira mentions, ""This is actually not a bug. The gradebook is working as designed. We purposely do not update the record if the score has not changed to reduce data contention"".

I'm not sure what kind of ""data contention"" could occur by updating the record.  But maybe that's why the property isn't listed as a default property?  We're able to add the property on a site-by-site basis (through Admin -> Sites), but I'm still not sure why you wouldn't want to enable that as the default for all sites?  Anyone else have any ideas?

---

Also, https://jira.sakaiproject.org/browse/SAK-38440 edu-services > implement *site property* to override 'gradebook.externalAssessments.updateSameScore' sakai.property

So... if this property _is_ added to sakai.properties, there should be some info (comment) in the  property's description that the property can be added on a site-by-site basis if setting it globally is not desired.",,,,,,,,,,,,,,,,,,,,,,SAK-19953,SAK-38440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10c9wo:",9223372036854775807,,,,,Not started,,,,,,,"14-Sep-2020 14:58;sfoster9;[~austinUH], I looked into this further after opening it today because the property sounded like the one we use. And it was!

We use the property as a site property instead of a sakai.property because typically we want the default behaviour for most sites except for a few cases, like the one described below. (Although, I just noticed in SAK-19953 that it can be set in sakai.properties as well.)

We apply it only to certain sites that have specific requirements to need it: mainly for quiz scores that are used for criteria of a certificate in the Certification tool. If that certificate needs to be renewed and the tester gets the same quiz score on their next attempt, we need this property so the certificate renewal date is updated (which comes from the Gradebook update date). We add this property to site using the admin Sites tool. 

I think most of the time, this property is unnecessary and could lead to additional database updates. ","14-Sep-2020 15:15;austinUH;Thanks [~sfoster9],

We'll take that into consideration before we decide to enable it globally in sakai.properties.

But does that mean it *shouldn't* be included in the default.sakai.properties?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tests & Quizzes view should be persistent,SAK-43007,86737,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,maintenanceteam,cschwiebert,cschwiebert,15-Jan-2020 07:17,14-Sep-2020 14:27,18-Feb-2021 03:39,,19.4,20.0,21.0 [Tentative],,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,1,,,,,,,,,"With the change in 19 to have all assessments in a single list, I believe that the View filter, number of assessments per page, and sort order should be persistent, at least within a session.

The list of assessments currently resets to the default every time you return to the list after editing, previewing, grading, or publishing an assessment. The default is viewing all (published & drafts), 20 assessments per page, sorted by modified date. If an instructor changes one or more of these options in order to make their work easier, it should remain that way until the instructor changes it again or logs out of their account. 

I recently had to publish assessments in a class that had about 25 quizzes. It was very frustrating to keep track of which I had published, as I had to change the view options again after publishing each one.  I sort by name, it reverts back to date modified, with the one I just finished at the top of the list. I display all assessments on one page, and I have to set that option again after each one. 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10c20o:",9223372036854775807,,"# Have a course with at least 5 assessments set up under Tests & Quizzes. These should be a mix of drafts and published assessments. 
 # Sort the list by title.
 # For one of the assessments, go to Edit or Settings.
 # Click the cancel button to return to the list of assessments. 
 # The list should remain sorted by title. 
 # Change the display option to show only 5 assessments per page. 
 # Confirm that you have multiple pages of assessments.
 # For one of the assessments, go to Edit or Settings.
 # Click the cancel button to return to the list of assessments. 
 # Confirm that only 5 assessments are showing, still sorted by title.
 # Change the view option to Drafts.
 # For one of the assessments, go to Edit or Settings.
 # Click the cancel button to return to the list of assessments. 
 # Confirm that you still see up to 5 draft assessments on a page, sorted by title. ",,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable separate points allocation for multiple answers in calculated questions,SAK-44254,88456,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,maintenanceteam,setajackson,setajackson,09-Sep-2020 08:54,14-Sep-2020 13:34,18-Feb-2021 03:39,,20.0,,,,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,0,,,,,,,,,"An instructor has requested the ability to allocate different points to multiple answers in a calculated question. Currently, the tool only allows for an overall points allocation for a calculated question and the expectation is that the points allocation would be split equally over the multiple responses. However, the instructor would like it to be possible to weight each of the responses in the question individually so that the points allocation is different depending on which of the parts the student enters correctly.

See the attached screen for the example supplied by the instructor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09-Sep-2020 08:52;setajackson;Vula_Calculated_Question_Multiple_Answer_Point_Allocation.jpg;https://jira.sakaiproject.org/secure/attachment/56791/Vula_Calculated_Question_Multiple_Answer_Point_Allocation.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10c9w8:",9223372036854775807,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove usage of anti-pattern getBeansOfType ,SAK-42437,86135,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,,jonespm,jonespm,01-Sep-2019 15:56,11-Sep-2020 18:28,18-Feb-2021 03:39,,,,,,,,,,,,,,,,,,,,BasicLTI,Kernel,Search,,,,,0,,,,,,,,,"Earle mentioned on SAK-42394 that [usage of getting the beans during init and injecting them|https://jira.sakaiproject.org/browse/SAK-42394?focusedCommentId=245044&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-245044] was an anti-pattern and should be removed. 

 
{noformat}
If it can't be done using dependencies (as Matt already stated) then by design I would potentially look at removing the use of:
applicationContext.getBeansOfType(LearningResourceStoreProvider.class, true, false);
by having the providers perform their own registration with service via org.sakaiproject.event.impl.BaseLearningResourceStoreService#registerProvider vs the service attempting to do it for them.
{noformat}
 

I looked and there were 4 places doing this in core that should be investigated to see if we can remove these. Contrib tools that make use of this pattern would break but we *should* be able to fix these for core. Everything now except the one in basiclti are calling with the third parameter as ""false"".
basiclti/basiclti-portlet/src/java/org/sakaiproject/blti/ProviderServlet.java
221:        Collection processors = ac.getParent().getBeansOfType(BLTIProcessor.class).values();

search/elasticsearch/impl/src/java/org/sakaiproject/search/elasticsearch/ElasticSearchIndexBuilderAutoRegistrar.java
54:                applicationContext.getBeansOfType(ElasticSearchIndexBuilder.class, false, false);

kernel/kernel-impl/src/main/java/org/sakaiproject/component/impl/BasicConfigurationService.java
184:        Map<String, ConfigurationProvider> providerBeans = this.applicationContext.getBeansOfType(ConfigurationProvider.class, false, false);

kernel/kernel-impl/src/main/java/org/sakaiproject/event/impl/BaseLearningResourceStoreService.java
94:            Map<String, LearningResourceStoreProvider> beans = applicationContext.getBeansOfType(LearningResourceStoreProvider.class, true, false);",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10bycg:",9223372036854775807,,Please add a Test Plan here.,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allow use of $ instead of $$ on MathJAX,SAK-42964,86691,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,,nagata.kouki.72s@st.kyoto-u.ac.jp,nagata.kouki.72s@st.kyoto-u.ac.jp,08-Jan-2020 01:45,01-Sep-2020 05:25,18-Feb-2021 03:39,,,,,,,,,,,,,,,,,,,,Kernel,,,,,,,0,,,,,,,,," According to the [website|http://docs.mathjax.org/en/latest/start.html], we can use $ instead of $$ on MathJAX.

 According to the comment by Daniel Merino, at 04:00 on 25 March 2014, in SAK-22384, there is a case the settings were changed to use $ on Sakai, too.

 As the settings are global, everyone has to respond if changed.It is better to be able to choose settings for each user. However, many people may not use $$ to express $.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10c1qg:",9223372036854775807,,Please add a Test Plan here.,,,Not started,,,,,,,"11-Jan-2020 13:17;jonespm;Here was the reason $$ was used 

""That is because dollar signs appear too often in non-mathematical settings, which could cause some text to be treated as mathematics unexpectedly."" http://docs.mathjax.org/en/latest/input/tex/delimiters.html

I suppose if you were in a country that didn't use the $ that often it wouldn't be that big of a problem but in North American currency calculations this wouldn't work out, and people wouldn't know they need to escape the $. 

So I wouldn't change the default but providing a way to make these configurable makes sense, either globally or perhaps as a site preference. 

","15-Jan-2020 09:25;kajita;Kyoto U prefers both of global setting and a site preference. Most of Japanese faculty want to use $ but some English native faculty may want  to use $$ instead of $ as the same in North America.","01-Sep-2020 05:25;daniel.merino;We have been using $ for years as delimiter, using a local patch (just two one-line changes in two files).

I created SAK-25978 for setting Mathjax preferences in sakai.properties, but in the end we used our local patch.

Just in case it is useful for others, this is the patch:
{code:java}
diff --git a/portal/portal-impl/impl/src/java/org/sakaiproject/portal/charon/SkinnableCharonPortal.java b/portal/portal-impl/impl/src/java/org/sakaiproject/portal/charon/SkinnableCharon
index b0c4867..978ca8f 100644
--- a/portal/portal-impl/impl/src/java/org/sakaiproject/portal/charon/SkinnableCharonPortal.java
+++ b/portal/portal-impl/impl/src/java/org/sakaiproject/portal/charon/SkinnableCharonPortal.java
@@ -1322,7 +1322,8 @@ public class SkinnableCharonPortal extends HttpServlet implements Portal
 if (Boolean.valueOf(strMathJaxEnabledForSite))
 {
 // this call to MathJax.Hub.Config seems to be needed for MathJax to work in IE
- headJs.append(""<script type=\""text/x-mathjax-config\"">\nMathJax.Hub.Config({\nmessageStyle: \""none\"",\ntex2jax: { inlineMath: [['\\\\(','\\\\)']] }\n});\n</
+ //headJs.append(""<script type=\""text/x-mathjax-config\"">\nMathJax.Hub.Config({\nmessageStyle: \""none\"",\ntex2jax: { inlineMath: [['\\\\(','\\\\)']] }\n});\n
+ headJs.append(""<script type=\""text/x-mathjax-config\"">\nMathJax.Hub.Config({\ntex2jax: { inlineMath: [['$','$'],['\\\\(','\\\\)']],\nprocessEscapes: true\n}
 headJs.append(""<script src=\"""").append(MATHJAX_SRC_PATH).append(""\"" type=\""text/javascript\""></script>\n"");
 } 
 }
diff --git a/portal/portal-tool/tool/src/java/org/sakaiproject/portal/tool/ToolPortal.java b/portal/portal-tool/tool/src/java/org/sakaiproject/portal/tool/ToolPortal.java
index 5e0102f..ff166da 100644
--- a/portal/portal-tool/tool/src/java/org/sakaiproject/portal/tool/ToolPortal.java
+++ b/portal/portal-tool/tool/src/java/org/sakaiproject/portal/tool/ToolPortal.java
@@ -309,7 +309,8 @@ public class ToolPortal extends HttpServlet
 if (mathJaxAllowedForSite)
 {
 // this call to MathJax.Hub.Config seems to be needed for MathJax to work in IE
- headJs += ""<script type=\""text/x-mathjax-config\"">\nMathJax.Hub.Config({\nmessageStyle: \""none\"",\ntex2jax: { inlineMath: [['\\\\(','\\\\)']] }\n});\n</script>\
+ //headJs += ""<script type=\""text/x-mathjax-config\"">\nMathJax.Hub.Config({\nmessageStyle: \""none\"",\ntex2jax: { inlineMath: [['\\\\(','\\\\)']] }\n});\n</script
+ headJs += ""<script type=\""text/x-mathjax-config\"">\nMathJax.Hub.Config({\ntex2jax: { inlineMath: [['$','$'],['\\\\(','\\\\)']],\nprocessEscapes: true\n},\nTeX:
 headJs += ""<script src=\"""" + MATHJAX_SRC_PATH + ""\"" type=\""text/javascript\""></script>\n"";
 }
 }
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samigo / disable browser autofill for password,SAK-44165,88367,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,maintenanceteam,drramsey,drramsey,27-Aug-2020 08:50,31-Aug-2020 13:39,18-Feb-2021 03:39,,19.5,20.1,21.0 [Tentative],,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,0,,,,,,,,,"When students access assessments that have password to access them, they receive notification to save the password from the browser.  

Is it possible to disable the autosave for this field?",Sakai nighlty 19/20/trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10c9cg:",9223372036854775807,,"When you login, make sure it asks you to save your password. (Otherwise you might have password disabled for that site). If so you have to go in your settings an enable it for the site again.
# Create an assessment that has a password to access
# As a student, access the assessment and enter the password to continue taking the assessment
# They student should not receive an option to save the password.",,,Not started,,,,,,,"30-Aug-2020 15:08;jonespm;This seems like a ""tough"" problem that doesn't have a simple solution.

The ""hack"" on here seems like it's the most interesting idea, to change the input to a password dynamically preventing the browser thinking it's a password. 

{{<input type=""text"" name=""password"" onfocus=""this.type='password'"" />}}

[https://gist.github.com/runspired/b9fdf1fa74fc9fb4554418dea35718fe]

 

It looks like this is using an inputSecret tag already to render this. 

Edit: I tried this and Chrome is still trying to save the password. ","30-Aug-2020 16:02;jonespm;-It seems like setting autocomplete=""off"" to the tag fixes this, at least in Chrome.-

Nope autocomplete already looks like it's set to ""off"" and not doing anything. 

[https://stackoverflow.com/a/8504877/3708872]

It seems like off/on are the only options unless we use an onfocus to change the autocomplete attribute.

[https://docs.oracle.com/javaee/6/javaserverfaces/2.1/docs/vdldocs/facelets/h/inputSecret.html]","30-Aug-2020 16:23;jonespm;I wonder if this was masked in javascript like how this libraries do it, rather than having a password input? 

https://github.com/s0urcelab/YouShallPass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replace Contact Us Tool with Link at bottom of page,SAK-44176,88378,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,,tkelsey,tkelsey,28-Aug-2020 21:05,31-Aug-2020 13:38,18-Feb-2021 03:39,,19.6,20.2,21.0 [Tentative],,,,,,,,,,,,,,,,Help Tool,,,,,,,0,,,,,,,,,"Contact Us tool should be replaced with a Contact Us link at the bottom of the page. Not only is this more what users expect to see, but it means that whether the tool is used is not dependent on the Instructor adding it.

The best replacement I can think of would be to display the page which displays when the Contact us Tool is clicked now, but as a Square over the site. At the top, it would list possible issues, and who to contact depending on the issue. Next, a dropdown menu with the possible contacts, and finally Subject, Summary, and Attachments fields

The UI could also be cleaned up, because right now it is slightly confusing.","chrome, mac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10c9ew:",9223372036854775807,,,,,Not started,,,,,,,"31-Aug-2020 13:38;sfoster9;You have some good points here, [~tkelsey], such as the consistency of having at the bottom of every page. However, there are some site-specific options, such as the ""Problem with content?"", which would sent the comment to the site's maintainer. 

We think that most institutions that use this tool would make it required in all sites. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date manager should include resubmission dates for Assignments,SAK-44124,88325,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,,cschwiebert,cschwiebert,18-Aug-2020 13:45,31-Aug-2020 13:27,18-Feb-2021 03:39,,20.2,21.0 [Tentative],,,,,,,,,,,,,,,,,Date Manager,,,,,,,0,,,,,,,,,"Date Manager currently allows instructors to set dates in bulk for many tools. For Assignments, the dates that can be changed are Open Date, Due Date, and Accept Until date. I feel like it should also include resubmission date, if resubmissions are allowed. If resubmissions are not allowed for an assignment, this should be disabled.


Date manager is a great feature and instructors appreciate how much time it saves. But, when they have an assignment that allows late submissions, they still must remember that and edit that date individually in the assignment settings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10c934:",9223372036854775807,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Group Awareness for Chat tool,SAK-44149,88351,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,,tkelsey,tkelsey,24-Aug-2020 11:15,24-Aug-2020 13:53,18-Feb-2021 03:39,,19.6,20.2,21.0 [Tentative],,,,,,,,,,,,,,,,Chat,,,,,,,0,,,,,,,,,"Currently, Instructors are unable to assign a chat room to a specific group, or limit who has access to a certain chat room.

Adding group awareness would allow the instructor to only allow students from a certain group to access a chat room. Presumably, the instructor would still be able to access any room they wish to. This way, the instructor could assign a topic for discussion to the different groups, and see more clearly how each group responds.","chrome, mac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10c98w:",9223372036854775807,,"Once feature has been added, then testing should be fairly simple. To test, create Groups 1 and 2, and then be able to sign in as the Instructor, a student from Group 1, and a student from Group 2. The Instructor should not be in either Group
 # As Instructor, create a new chat room, and assign it to Group 1. Fill out required information then save
 # **Added by Triage** Add the Recent Chat widget to overview page, and to a Lessons page.
 # Sign in as Group 1 student. Verify new chat room is accessible. Post something. 
 # Sign in as Group 2 student. Verify new chat room is not present
 # **Added by Triage** Check the Recent Chat messages in Lessons and Overview to ensure you can't see messages from Group 1.
 # Sign back in as instructor, verify you can view any messages in Group 1 chat, despite not actually being a member of Group 1.",,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
